    1  7752.2
    2  7730.5
    3  7708.8
    4  7687.1
    5  7665.4
    6  7643.7
    7  7622.1
    8  7600.4
    9  7578.7
   10  7557.0
   11  7535.4
   12  7513.7
   13  7492.1
   14  7470.4
   15  7448.8
   16  7427.1
   17  7405.5
   18  7383.8
   19  7362.2
   20  7340.5
   21  7318.9
   22  7297.3
   23  7275.7
   24  7254.0
   25  7232.4
   26  7210.8
   27  7189.2
   28  7167.6
   29  7146.0
   30  7124.3
   31  7102.7
   32  7081.1
   33  7059.5
   34  7038.0
   35  7016.4
   36  6994.8
   37  6973.2
   38  6951.6
   39  6930.0
   40  6908.5
   41  6886.9
   42  6865.3
   43  6843.7
   44  6822.2
   45  6800.6
   46  6779.1
   47  6757.5
   48  6736.0
   49  6714.4
   50  6692.9
   51  6671.3
   52  6649.8
   53  6628.2
   54  6606.7
   55  6585.2
   56  6563.7
   57  6542.1
   58  6520.6

